ABC,MCMC,SMC
0.10152,1.563703,0.789281
0.134152,1.521929,0.820514
0.100139,1.523308,0.793164
0.101038,1.541194,0.78733
0.134385,1.52137,0.81985
0.101507,1.640699,0.791877
0.101371,1.583593,0.802035
0.134283,1.52904,0.835217
0.100511,1.581118,0.797379
0.101444,1.572145,0.787726
0.135067,1.531714,0.818494
0.100789,1.549634,0.790503
0.101054,1.513211,0.788586
0.100303,1.565402,0.82101
0.099259,1.52871,0.790199
0.101777,1.555283,0.790769
0.101764,1.632781,0.822234
0.097904,1.519824,0.790619
0.100955,1.5691,0.788205
0.100642,1.576725,0.787024
0.133079,1.502056,0.817646
0.100916,1.552628,0.787373
0.101569,1.529336,0.78462
0.132331,1.531411,0.816666
0.100625,1.501855,0.787711
0.100573,1.562629,0.786052
0.134632,1.539937,0.819965
0.100498,1.633906,0.787729
0.101025,1.541219,0.787067
0.100383,1.563676,0.785995
0.132327,1.493767,0.823045
0.101299,1.565391,0.788655
0.101977,1.566354,0.790774
0.133179,1.520771,0.817471
0.102299,1.556761,0.791439
0.101689,1.543701,0.792287
0.102552,1.54514,0.787185
0.133798,1.555778,0.78812
0.132104,1.595201,0.790593
0.101949,1.530399,0.786482
0.133573,1.51801,0.819602
0.102586,1.539992,0.78973
0.101972,1.577238,0.788589
0.101629,1.518213,0.786648
0.132149,1.526509,0.814578
0.102173,1.546341,0.789155
0.101309,1.525754,0.786878
0.101434,1.536056,0.787773
0.1319,1.558096,0.869366
0.102377,1.550248,0.79199
0.100786,1.556443,0.787159
0.134543,1.515837,0.8208
0.09909,1.543537,0.789964
0.100829,1.551995,0.792425
0.102368,1.556359,0.79168
0.134038,1.5326,0.820807
0.100212,1.55838,0.789617
0.101394,1.550209,0.790034
0.102022,1.561835,0.786798
0.134135,1.517691,0.899035
0.100195,1.559224,0.78755
0.101188,1.541249,0.790243
0.101306,1.573858,0.788259
0.134199,1.523442,0.821751
0.099481,1.549081,0.789539
0.10278,1.546873,0.790547
0.1008,1.570722,0.788735
0.135654,1.523734,0.787415
0.132114,1.531824,0.820168
0.101675,1.542363,0.789954
0.101577,1.641923,0.789047
0.10097,1.550741,0.786955
0.132546,1.509601,0.819807
0.111497,1.561166,0.791254
0.10158,1.537483,0.791549
0.10192,1.554573,0.790644
0.134598,1.503554,0.821167
0.097718,1.510668,0.788448
0.101236,1.530417,0.789189
0.101135,1.556332,0.790893
0.101246,1.543362,0.790106
0.132694,1.623586,0.817581
0.10172,1.548448,0.79182
0.101398,1.535872,0.788781
0.100717,1.564261,0.790824
0.133872,1.507206,0.785367
0.132412,1.522696,0.819877
0.10223,1.570795,0.787755
0.100466,1.521093,0.790265
0.101365,1.575802,0.787809
0.136216,1.525844,0.790384
0.131711,1.522918,0.819652
0.101348,1.639005,0.788957
0.101562,1.556197,0.791937
0.10208,1.572382,0.78973
0.101047,1.544523,0.786491
0.132638,1.500646,0.821443
0.101572,1.544686,0.792762
0.101306,1.570214,0.795831
0.10118,1.516194,0.788336
0.10117,1.523002,0.793909
0.132243,1.53523,0.81556
0.098298,1.539449,0.816961
0.101412,1.595524,0.789321
0.101583,1.531717,0.789952
0.101514,1.572402,0.790891
0.100299,1.547073,0.791769
0.133158,1.547206,0.819776
0.100155,1.568822,0.789388
0.101342,1.566628,0.792362
0.100506,1.566898,0.795868
0.101608,1.560977,0.790615
0.135912,1.505498,0.787417
0.132941,1.525372,0.820223
0.100804,1.628025,0.789202
0.101096,1.517915,0.790709
0.102247,1.566975,0.790792
0.101555,1.544668,0.789398
0.101197,1.554963,0.787876
0.133311,1.5519,0.826959
0.098435,1.513998,0.820094
0.101239,1.549061,0.789126
0.101804,1.560624,0.790659
0.101184,1.5705,0.791374
0.101521,1.541184,0.790988
